Scopus refine results values,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Your query : (TITLE-ABS-KEY(Archaeology) AND PUBYEAR > 1949 AND PUBYEAR < 2024),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Number of results : 64884,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN ACCESS,,YEAR,,AUTHOR NAME,,SUBJECT AREA,,DOCUMENT TYPE,,PUBLICATION STAGE,,SOURCE TITLE,,KEYWORD,,AFFILIATION,,FUNDING SPONSOR,,COUNTRY,,SOURCE TYPE,,LANGUAGE,
All Open Access,18928,2023,3065,"Lawler, A.",107,Arts and Humanities,38889,Article,43868,final,64505,Journal Of Archaeological Science,2311,Archaeology,23495,CNRS Centre National de la Recherche Scientifique,1794,National Science Foundation,1875,United States,17171,Journal,51456,English,57694
Gold,7133,2022,3841,"Glascock, M.D.",94,Social Sciences,37508,Book Chapter,6255,aip,379,Quaternary International,1477,Archeology,8390,University College London,1130,European Research Council,832,United Kingdom,11078,Book,8486,Russian,1860
Hybrid Gold,2893,2021,4180,"Erlandson, J.M.",86,Earth and Planetary Sciences,11016,Review,5317,,,American Antiquity,1189,Human,5405,University of Oxford,1128,Horizon 2020 Framework Programme,750,Italy,4173,Conference Proceeding,2774,Spanish,1758
Bronze,4569,2020,3987,"Lasaponara, R.",80,Environmental Science,4513,Conference Paper,3803,,,Antiquity,1067,Article,4981,University of Cambridge,1064,Australian Research Council,617,France,4134,Book Series,1951,French,1329
Green,11531,2019,3966,"Masini, N.",80,Agricultural and Biological Sciences,3906,Book,2370,,,Plos One,944,Humans,4285,Russian Academy of Sciences,800,European Commission,573,Germany,4069,Trade Journal,211,German,780
,,2018,3688,"Balter, M.",77,Multidisciplinary,3851,Note,1239,,,Science,895,History,4212,Consejo Nacional de Investigaciones Científicas y Técnicas,715,National Natural Science Foundation of China,566,Spain,3782,Report,1,Italian,558
,,2017,3490,"Boivin, N.",76,Computer Science,3262,Editorial,766,,,World Archaeology,817,Archaeological Evidence,2971,The Australian National University,657,Seventh Framework Programme,548,Australia,3072,Undefined,5,Portuguese,393
,,2016,3541,"Evershed, R.P.",76,Medicine,3059,Short Survey,527,,,Nature,719,Priority Journal,2518,University of York,648,Deutsche Forschungsgemeinschaft,539,Russian Federation,2595,,,Chinese,300
,,2015,2936,"Rick, T.C.",68,Engineering,2987,Letter,353,,,Journal Of Archaeological Science Reports,602,Animals,2094,The University of Arizona,595,Arts and Humanities Research Council,456,Canada,2488,,,Czech,159
,,2014,2855,"Eren, M.I.",67,Physics and Astronomy,2030,Erratum,207,,,Proceedings Of The National Academy Of Sciences Of The United States Of America,590,Holocene,2011,Durham University,553,Social Sciences and Humanities Research Council of Canada,424,China,1967,,,Polish,134
,,2013,2797,"Fuller, D.Q.",64,"Biochemistry, Genetics and Molecular Biology",1945,Conference Review,138,,,Archaeometry,588,"History, Ancient",1882,Chinese Academy of Sciences,545,Natural Environment Research Council,418,Israel,1188,,,Romanian,123
,,2012,2790,"Kennett, D.J.",64,Chemistry,1373,Data Paper,37,,,American Journal Of Physical Anthropology,535,Artifact,1810,Consiglio Nazionale delle Ricerche,539,National Geographic Society,392,Netherlands,1185,,,Moldavian,113
